experiment,variant,instance,seed,value,weight,capacity,time_to_best_s,wall_s,kernel_s,iterations,walkers,budget_s,config_hash
sensitivity,sens_pert2,LK_800_08,2,4158,2948,4000,5.150,60.485,56.404,334000,1024,60,48723ba365
sensitivity,sens_pert2,LK_800_08,3,4158,2998,4000,5.530,60.418,56.473,334000,1024,60,48723ba365
sensitivity,sens_pert2,LK_1000_03,1,5395,3829,5000,2.210,60.378,56.429,322000,1024,60,48723ba365
sensitivity,sens_pert2,LK_1000_03,2,5395,3864,5000,2.500,60.655,56.725,324000,1024,60,48723ba365
sensitivity,sens_pert2,LK_1000_03,3,5395,3823,5000,2.890,60.436,56.458,326000,1024,60,48723ba365
sensitivity,sens_pert2,LK_1000_08,1,5394,3879,5000,4.280,60.616,56.609,324000,1024,60,48723ba365
sensitivity,sens_pert2,LK_1000_08,2,5394,3872,5000,3.310,60.627,56.277,318000,1024,60,48723ba365
sensitivity,sens_pert2,LK_1000_08,3,5394,3879,5000,3.560,60.609,56.599,328000,1024,60,48723ba365
sensitivity,sens_pert2,MF_800_03,1,3672,2400,2400,1.410,60.675,47.668,248000,1024,60,48723ba365
sensitivity,sens_pert2,MF_800_03,2,3672,2400,2400,1.390,60.588,47.554,248000,1024,60,48723ba365
sensitivity,sens_pert2,MF_800_03,3,3672,2400,2400,1.370,60.648,47.527,252000,1024,60,48723ba365
sensitivity,sens_pert2,MF_800_08,1,3612,2396,2400,1.750,60.567,46.783,246000,1024,60,48723ba365
sensitivity,sens_pert2,MF_800_08,2,3612,2396,2400,1.840,60.546,46.340,246000,1024,60,48723ba365
sensitivity,sens_pert2,MF_800_08,3,3612,2396,2400,1.780,60.407,46.478,250000,1024,60,48723ba365
sensitivity,sens_pert2,MF_1000_03,1,4643,2999,3000,3.620,60.390,46.278,224000,1024,60,48723ba365
sensitivity,sens_pert2,MF_1000_03,2,4643,2998,3000,4.140,60.426,46.116,224000,1024,60,48723ba365
sensitivity,sens_pert2,MF_1000_03,3,4643,2999,3000,6.560,60.309,46.105,230000,1024,60,48723ba365
sensitivity,sens_pert2,MF_1000_08,1,4572,2998,3000,2.030,60.619,46.217,224000,1024,60,48723ba365
sensitivity,sens_pert2,MF_1000_08,2,4572,2997,3000,2.000,60.469,46.401,232000,1024,60,48723ba365
sensitivity,sens_pert2,MF_1000_08,3,4572,2999,3000,2.570,60.391,46.263,232000,1024,60,48723ba365
sensitivity,sens_ten7,O_800_03,1,4107,2400,2400,2.570,60.581,44.431,280000,1024,60,fd2d1e0040
sensitivity,sens_ten7,O_800_03,2,4107,2400,2400,3.010,60.327,44.554,280000,1024,60,fd2d1e0040
sensitivity,sens_ten7,O_800_03,3,4107,2399,2400,3.450,60.364,44.394,272000,1024,60,fd2d1e0040
sensitivity,sens_ten7,O_800_08,1,4063,2400,2400,1.670,60.560,44.230,282000,1024,60,fd2d1e0040
